session_date,expiry,dte,atm,ref_spot,sensex_open,sensex_15s,sensex_move,ce_strike,ce_open,ce_15s,ce_move,ce_min,ce_max,book_ratio_0_7,ce_iv,ce_delta,ce_theta,ce_vega
2026-09-15,2026-09-17,2,75400,75369.63,75376.23,75216.75,-159.48,75500,298.0,241.6,-56.4,189.8,310.0,0.61,,,,
2026-09-16,2026-09-17,1,74200,74249.31,74262.63,74292.97,30.34,74300,284.1,329.6,45.5,284.1,350.0,1.88,,,,
2026-09-17,2026-09-17,0,74200,74182.62,74188.53,74319.17,130.64,74300,164.1,234.6,70.5,143.9,264.75,0.56,,,,
2026-09-18,2026-09-24,6,74600,74575.24,74532.38,74559.46,27.08,74700,500.9,430.9,-70.0,419.05,500.9,1.58,,,,
2026-09-21,2026-09-24,3,74500,74535.18,74490.63,74619.2,128.57,74600,375.95,430.3,54.35,375.95,443.55,0.94,18.19425833766962,0.43386,-82.93749,28.69273
2026-09-22,2026-09-24,2,74900,74901.5,74971.36,75022.33,50.97,75000,315.0,314.05,-0.95,283.0,322.85,0.74,13.52358373371811,0.45995,-75.64337,24.6737
2026-09-23,2026-09-24,1,74600,74648.32,74654.73,74743.02,88.29,74700,272.05,274.1,2.05,228.8,290.15,1.14,18.003581754022424,0.43811,-121.2488,18.93572
2026-09-24,2026-09-24,0,74300,74272.4,74197.7,74301.71,104.01,74400,130.2,154.7,24.5,120.5,209.65,0.82,18.54749813353194,0.80127,-157.20319,7.85233
2026-09-25,2026-10-01,6,73500,73525.92,73583.49,73565.17,-18.32,73600,575.35,,,575.3,693.05,0.79,15.142073604939293,0.53398,-55.98938,39.0808
